latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-27.45167,153.02014,27.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h)
2010-01-01,NaN,27.8,22.1,24.5,30.2,25.9,27.4,0.80,14.3
2010-01-02,NaN,28.8,23.1,25.8,33.3,27.2,29.4,2.50,14.8
2010-01-03,NaN,31.5,22.4,25.2,38.1,24.7,28.6,29.10,19.9
2010-01-04,NaN,26.2,21.6,23.9,27.3,23.0,25.0,0.20,21.3
2010-01-05,NaN,26.8,21.6,24.1,28.2,23.9,25.8,0.00,17.9
2010-01-06,NaN,27.2,21.8,24.2,31.6,25.4,27.9,2.50,11.4
2010-01-07,NaN,27.3,21.7,24.1,31.2,24.7,27.1,6.10,14.7
2010-01-08,NaN,27.3,20.9,23.9,30.7,23.6,26.6,1.70,17.0
2010-01-09,NaN,28.1,21.4,24.3,32.1,24.8,27.4,0.00,14.1
2010-01-10,NaN,29.6,21.8,25.0,33.8,25.4,28.2,0.00,14.2
2010-01-11,NaN,29.7,21.0,24.8,33.5,24.1,27.8,0.00,15.3
2010-01-12,NaN,28.5,22.0,24.7,32.1,25.3,27.6,0.00,16.1
2010-01-13,NaN,28.9,20.9,24.8,33.1,23.9,27.4,0.00,16.8
2010-01-14,NaN,29.6,22.0,25.4,33.0,24.9,28.1,0.00,14.5
2010-01-15,NaN,28.4,21.1,24.7,30.2,23.8,26.6,0.00,16.0
2010-01-16,NaN,28.0,21.5,24.8,29.9,24.8,27.2,0.00,14.2
2010-01-17,NaN,32.2,22.9,26.7,36.9,26.1,29.8,0.00,17.1
2010-01-18,NaN,36.9,19.4,28.1,38.8,19.0,28.2,0.00,14.4
2010-01-19,NaN,31.3,19.9,24.5,34.8,21.5,26.3,0.00,19.8
2010-01-20,NaN,32.0,21.1,25.7,35.9,24.4,28.3,0.00,16.5
2010-01-21,NaN,33.2,22.0,26.6,36.3,25.8,29.3,0.00,14.3
2010-01-22,NaN,31.2,22.4,26.1,34.6,26.3,29.1,0.00,14.3
2010-01-23,NaN,31.4,22.3,26.0,34.7,25.8,28.8,0.00,14.4
2010-01-24,NaN,31.9,22.2,26.2,35.6,26.3,29.1,0.00,18.0
2010-01-25,NaN,31.9,21.8,26.3,35.8,25.4,29.2,0.00,17.4
2010-01-26,NaN,32.9,21.5,26.5,36.7,24.7,29.2,0.00,19.4
2010-01-27,NaN,34.5,23.1,27.6,37.8,27.3,31.3,0.40,15.8
2010-01-28,NaN,32.8,23.1,27.3,37.3,27.7,31.2,2.00,15.0
2010-01-29,NaN,33.2,22.6,26.3,37.4,25.5,30.2,4.20,18.2
2010-01-30,NaN,28.5,22.1,24.8,30.5,24.7,27.0,5.10,20.8
2010-01-31,NaN,25.3,21.8,23.2,27.8,23.4,25.2,18.00,20.7
2010-02-01,NaN,24.6,21.3,23.2,26.0,22.7,24.0,7.50,27.2
2010-02-02,NaN,26.0,20.9,23.5,27.6,23.7,25.1,1.40,23.9
2010-02-03,NaN,26.8,21.0,24.2,29.0,24.2,26.6,0.80,16.0
2010-02-04,NaN,28.7,21.8,24.9,32.8,25.5,28.2,1.20,12.9
2010-02-05,NaN,29.4,22.8,25.7,33.1,26.9,29.2,0.30,15.0
2010-02-06,NaN,28.4,22.1,24.3,33.4,25.9,28.2,27.70,14.5
2010-02-07,NaN,25.4,21.8,23.5,28.5,24.5,26.6,14.40,15.8
2010-02-08,NaN,27.6,21.4,24.2,30.6,23.7,26.2,1.60,19.4
2010-02-09,NaN,26.7,21.0,24.0,30.6,23.3,26.3,1.80,17.9
2010-02-10,NaN,26.9,20.4,23.7,29.8,23.1,26.3,3.60,15.3
2010-02-11,NaN,26.5,21.3,24.1,29.8,25.1,27.1,1.60,13.1
2010-02-12,NaN,29.2,22.3,25.1,34.1,26.3,28.8,0.00,14.3
2010-02-13,NaN,29.1,21.9,25.1,33.9,25.3,28.4,1.40,15.9
2010-02-14,NaN,30.6,23.8,26.6,33.5,28.6,30.3,0.00,17.4
2010-02-15,NaN,32.4,24.2,27.4,37.4,29.4,32.3,8.00,17.7
2010-02-16,NaN,29.2,22.1,24.5,35.1,24.7,28.5,26.20,16.1
2010-02-17,NaN,26.9,22.8,24.4,29.9,24.1,26.8,3.40,13.9
2010-02-18,NaN,27.0,21.0,23.4,27.5,21.5,24.0,0.00,22.4
2010-02-19,NaN,26.0,20.8,23.3,26.8,22.5,24.3,0.30,19.7
2010-02-20,NaN,27.4,21.0,23.7,29.6,23.7,26.0,2.00,15.4
2010-02-21,NaN,27.0,20.6,23.8,30.5,23.1,26.7,0.60,12.0
2010-02-22,NaN,28.8,22.9,25.3,32.9,27.3,29.3,0.40,13.9
2010-02-23,NaN,32.4,23.5,26.7,38.4,27.2,31.3,0.10,16.8
2010-02-24,NaN,28.2,22.8,24.8,31.2,24.4,26.5,1.40,21.4
2010-02-25,NaN,25.6,20.3,23.0,26.6,20.8,23.3,0.60,22.1
2010-02-26,NaN,25.6,20.4,22.7,27.0,22.0,24.1,2.30,18.0
2010-02-27,NaN,26.6,21.9,23.3,29.9,24.9,26.2,4.10,17.1
2010-02-28,NaN,27.0,21.8,23.8,31.8,25.6,27.7,7.50,12.6
2010-03-01,NaN,23.8,21.0,22.1,28.0,22.8,24.7,61.60,18.0
2010-03-02,NaN,23.5,21.0,21.6,25.0,22.0,23.0,38.40,21.9
2010-03-03,NaN,24.9,21.4,22.7,25.8,22.7,24.0,4.00,22.0
2010-03-04,NaN,25.5,22.8,23.9,26.0,24.6,25.0,0.50,22.3
2010-03-05,NaN,24.1,23.3,23.8,26.7,25.8,26.3,3.00,16.8
2010-03-06,NaN,24.5,21.9,23.3,27.3,24.7,25.7,3.30,18.0
2010-03-07,NaN,25.2,21.8,23.7,28.8,25.3,26.4,5.10,17.4
2010-03-08,NaN,26.4,20.2,23.8,29.6,23.4,27.3,0.10,7.3
2010-03-09,NaN,29.1,21.1,25.1,33.5,25.0,29.0,0.00,10.5
2010-03-10,NaN,29.6,21.7,24.6,34.8,23.5,27.5,1.90,17.7
2010-03-11,NaN,26.5,21.0,23.2,27.7,20.9,23.5,0.90,23.6
2010-03-12,NaN,25.5,20.3,22.6,25.6,20.0,22.0,0.20,26.5
2010-03-13,NaN,24.8,19.2,21.5,24.5,19.9,21.5,2.30,24.0
2010-03-14,NaN,23.7,18.0,21.2,25.3,18.8,21.9,1.30,18.4
2010-03-15,NaN,24.4,18.5,21.3,26.6,19.5,22.5,0.80,16.2
2010-03-16,NaN,25.2,18.6,21.7,25.4,18.9,21.9,0.30,19.6
2010-03-17,NaN,25.1,19.9,22.5,26.1,20.0,23.0,2.30,20.6
2010-03-18,NaN,25.6,19.8,22.5,25.2,21.5,23.2,0.50,20.5
2010-03-19,NaN,24.9,20.1,22.4,25.0,20.4,22.7,0.00,17.0
2010-03-20,NaN,26.0,20.7,23.3,26.9,22.9,24.9,0.50,19.3
2010-03-21,NaN,26.5,19.8,23.0,28.4,23.0,26.2,0.00,13.0
2010-03-22,NaN,28.0,20.4,23.4,31.5,23.7,27.0,0.80,8.7
2010-03-23,NaN,27.2,19.4,22.7,31.7,21.9,25.8,7.00,14.1
2010-03-24,NaN,25.7,19.5,22.4,28.2,21.0,24.0,1.10,15.4
2010-03-25,NaN,26.0,19.6,22.4,27.7,22.0,24.3,0.10,13.9
2010-03-26,NaN,25.4,17.8,22.0,28.6,19.4,24.2,1.70,9.8
2010-03-27,NaN,26.9,19.0,22.6,30.1,21.4,25.3,1.30,11.4
2010-03-28,NaN,26.1,19.6,22.5,28.1,22.2,24.8,1.20,14.2
2010-03-29,NaN,26.5,18.9,22.6,30.2,21.3,25.5,0.30,12.7
2010-03-30,NaN,25.8,20.3,22.7,28.8,23.5,25.8,1.10,10.9
2010-03-31,NaN,25.5,19.7,22.3,29.2,22.2,25.5,2.80,9.9
2010-04-01,NaN,25.9,18.4,21.4,29.0,19.9,23.6,2.80,13.2
2010-04-02,NaN,25.8,18.9,22.1,27.8,20.4,23.6,0.40,13.8
2010-04-03,NaN,25.3,18.7,21.7,26.3,19.4,22.4,0.30,13.2
2010-04-04,NaN,24.5,17.2,20.8,25.2,17.6,21.3,0.00,13.0
2010-04-05,NaN,24.8,17.8,20.9,26.4,18.8,22.0,0.10,13.6
2010-04-06,NaN,24.1,18.4,21.4,25.2,20.2,22.8,0.80,10.5
2010-04-07,NaN,26.1,18.0,22.0,27.8,19.5,23.3,0.00,10.0
2010-04-08,NaN,29.8,19.4,24.0,32.1,21.2,26.7,0.00,10.2
2010-04-09,NaN,26.4,19.3,22.7,28.7,21.9,25.0,0.70,13.7
2010-04-10,NaN,28.7,19.7,23.4,32.0,22.8,26.5,0.00,13.6
2010-04-11,NaN,29.6,22.3,24.9,34.3,25.7,28.6,0.30,13.8
2010-04-12,NaN,29.4,19.1,23.5,31.3,21.0,26.0,9.70,10.8
2010-04-13,NaN,22.2,16.7,19.6,22.1,16.2,19.4,0.90,16.3
2010-04-14,NaN,23.8,17.0,20.2,23.7,17.9,20.8,0.70,16.3
2010-04-15,NaN,24.7,17.1,20.6,25.7,17.0,21.0,1.10,13.2
2010-04-16,NaN,22.7,17.3,20.3,22.5,17.7,20.2,0.90,19.0
2010-04-17,NaN,23.7,17.6,20.4,23.9,18.5,21.1,1.10,16.6
2010-04-18,NaN,23.0,18.4,20.5,24.1,19.7,21.7,2.50,14.8
2010-04-19,NaN,24.1,18.5,20.8,23.6,19.2,21.0,0.20,19.8
2010-04-20,NaN,22.9,18.6,20.3,23.8,20.0,21.6,1.20,15.3
2010-04-21,NaN,22.4,18.3,20.3,24.4,19.5,21.9,2.10,15.9
2010-04-22,NaN,23.6,17.4,20.5,24.5,18.7,22.0,1.10,14.1
2010-04-23,NaN,24.9,17.6,21.1,26.4,19.2,23.0,0.50,11.2
2010-04-24,NaN,25.0,17.7,21.5,27.8,19.4,24.0,0.30,11.0
2010-04-25,NaN,28.5,17.3,22.6,30.2,15.7,23.3,0.00,16.8
2010-04-26,NaN,23.7,14.5,19.0,23.4,13.9,18.5,0.00,11.7
2010-04-27,NaN,23.7,15.7,19.9,24.7,16.6,20.8,0.00,10.0
2010-04-28,NaN,25.2,17.1,21.0,26.4,18.6,22.6,0.10,8.9
2010-04-29,NaN,27.1,13.8,20.6,28.6,13.2,21.7,0.00,10.8
2010-04-30,NaN,26.0,17.1,21.1,27.3,17.6,21.8,0.00,14.5
2010-05-01,NaN,23.5,17.3,20.4,23.8,17.9,21.2,0.40,11.9
2010-05-02,NaN,23.8,16.9,20.2,24.2,17.7,21.1,0.10,11.4
2010-05-03,NaN,24.5,18.2,20.7,24.1,20.1,21.8,3.70,16.6
2010-05-04,NaN,21.6,16.5,18.5,24.8,17.7,20.6,14.60,7.9
2010-05-05,NaN,25.6,14.3,19.9,27.3,13.7,20.8,0.00,9.4
2010-05-06,NaN,23.7,13.1,18.1,24.1,11.4,17.2,0.00,12.9
2010-05-07,NaN,23.0,12.6,17.4,22.6,11.3,16.8,0.00,10.7
2010-05-08,NaN,22.9,14.4,18.4,22.8,13.9,18.2,0.10,14.3
2010-05-09,NaN,23.7,15.1,19.0,23.5,15.3,19.3,0.00,11.6
2010-05-10,NaN,22.6,15.9,19.1,22.8,17.1,20.2,0.20,10.2
2010-05-11,NaN,23.8,14.0,18.0,26.0,13.9,19.0,4.50,8.1
2010-05-12,NaN,25.9,12.4,18.3,24.6,10.6,17.1,0.00,14.5
2010-05-13,NaN,22.1,8.9,15.5,20.5,6.6,13.8,0.00,8.7
2010-05-14,NaN,22.7,10.0,16.3,21.0,8.2,15.2,0.00,9.2
2010-05-15,NaN,23.0,12.5,17.1,22.4,11.7,16.4,0.00,9.7
2010-05-16,NaN,22.1,12.9,17.1,20.9,12.1,16.8,0.00,7.6
2010-05-17,NaN,20.1,10.3,15.7,19.8,9.4,15.6,0.30,7.2
2010-05-18,NaN,20.9,11.1,16.2,20.0,9.6,15.5,0.00,8.2
2010-05-19,NaN,22.1,13.7,17.2,21.4,13.3,16.8,0.00,10.0
2010-05-20,NaN,21.2,15.0,17.7,21.1,16.0,18.4,5.70,7.9
2010-05-21,NaN,16.9,11.7,14.6,18.2,11.0,15.0,15.90,7.7
2010-05-22,NaN,21.2,12.5,16.3,20.6,10.8,15.3,0.00,11.8
2010-05-23,NaN,20.2,14.6,17.1,19.2,14.2,16.6,0.00,15.3
2010-05-24,NaN,20.0,14.8,17.7,20.4,15.6,18.4,1.50,9.7
2010-05-25,NaN,21.1,14.5,17.5,21.6,14.7,18.0,4.40,15.3
2010-05-26,NaN,21.8,13.5,17.1,19.4,11.4,14.8,0.00,22.4
2010-05-27,NaN,22.3,13.7,17.3,20.7,12.7,16.4,0.00,17.5
2010-05-28,NaN,20.5,16.7,18.3,19.9,17.4,18.7,9.40,15.0
2010-05-29,NaN,20.3,12.5,16.1,20.1,10.7,15.2,3.60,14.9
2010-05-30,NaN,19.6,11.9,15.2,16.1,9.6,12.6,0.00,20.6
2010-05-31,NaN,19.3,11.3,15.3,17.0,10.2,13.6,0.00,17.9
2010-06-01,NaN,21.1,15.5,17.9,21.2,15.5,18.1,0.30,8.6
2010-06-02,NaN,19.4,13.3,16.5,20.2,13.5,17.2,3.30,8.2
2010-06-03,NaN,20.1,10.7,15.1,19.5,9.4,14.5,0.10,13.4
2010-06-04,NaN,20.8,13.8,16.6,18.6,12.3,14.8,0.00,17.1
2010-06-05,NaN,23.0,12.4,17.2,22.0,10.2,15.7,0.00,13.0
2010-06-06,NaN,20.5,9.4,14.6,17.5,7.0,11.7,0.00,17.9
2010-06-07,NaN,20.3,12.1,15.8,19.1,11.0,14.8,0.00,9.9
2010-06-08,NaN,19.8,12.6,16.0,19.1,12.7,16.0,0.00,8.1
2010-06-09,NaN,22.4,10.7,16.2,21.0,6.5,13.8,0.00,19.0
2010-06-10,NaN,18.5,10.1,13.1,14.6,8.1,10.5,0.00,20.5
2010-06-11,NaN,19.1,7.6,13.2,18.1,4.4,11.1,0.00,13.4
2010-06-12,NaN,18.3,9.4,13.3,16.7,7.4,11.4,0.00,12.0
2010-06-13,NaN,18.6,12.6,14.9,16.4,11.4,13.4,0.00,15.3
2010-06-14,NaN,19.6,13.0,15.9,17.2,11.7,14.5,0.00,19.2
2010-06-15,NaN,19.7,12.1,15.7,17.1,10.8,14.1,0.40,17.8
2010-06-16,NaN,20.3,11.9,15.9,18.5,11.1,14.9,0.00,13.3
2010-06-17,NaN,20.0,12.9,16.7,20.7,12.8,17.1,2.70,8.0
2010-06-18,NaN,21.9,13.7,16.8,21.9,12.1,16.5,0.90,8.8
2010-06-19,NaN,21.0,9.0,14.5,19.7,7.1,13.2,0.00,9.4
2010-06-20,NaN,20.2,10.5,14.8,19.4,9.0,14.0,0.00,8.3
2010-06-21,NaN,20.4,12.7,15.9,19.2,11.7,15.0,0.00,12.3
2010-06-22,NaN,19.3,13.4,16.1,17.3,11.7,14.6,0.30,19.9
2010-06-23,NaN,18.5,12.7,15.7,16.7,11.3,14.6,1.80,19.1
2010-06-24,NaN,18.2,12.4,15.5,17.1,11.2,14.6,0.50,17.1
2010-06-25,NaN,20.3,11.5,15.9,19.4,11.3,15.7,0.00,9.7
2010-06-26,NaN,21.0,11.3,15.9,21.0,10.6,15.9,0.00,10.0
2010-06-27,NaN,18.8,7.7,13.7,18.4,4.6,12.1,0.40,13.1
2010-06-28,NaN,18.0,7.2,12.6,16.5,4.6,10.8,0.00,8.3
2010-06-29,NaN,17.5,10.4,13.3,14.7,8.8,11.1,0.40,9.0
2010-06-30,NaN,15.6,11.2,12.8,15.9,9.3,11.8,8.10,8.0
2010-07-01,NaN,18.0,11.9,14.4,17.4,10.5,13.4,0.00,8.1
2010-07-02,NaN,16.0,11.7,14.1,15.8,9.2,13.4,9.90,16.5
2010-07-03,NaN,18.3,7.2,11.8,14.1,4.1,8.7,0.00,18.0
2010-07-04,NaN,18.9,10.7,14.3,17.4,9.1,12.9,0.00,10.5
2010-07-05,NaN,19.5,12.7,15.4,18.4,12.7,15.0,0.00,10.5
2010-07-06,NaN,21.0,13.2,16.6,21.4,10.3,15.1,0.00,15.3
2010-07-07,NaN,15.9,11.3,13.2,13.4,10.0,11.7,3.20,10.9
2010-07-08,NaN,17.7,13.2,15.1,15.8,11.5,13.5,0.00,17.6
2010-07-09,NaN,18.8,12.0,15.1,15.9,10.7,13.4,0.00,24.3
2010-07-10,NaN,19.5,11.7,15.5,17.9,11.1,14.7,0.40,14.8
2010-07-11,NaN,19.6,10.4,15.0,19.8,9.5,15.0,0.40,7.4
2010-07-12,NaN,21.5,10.7,15.7,21.2,10.2,15.8,0.00,10.0
2010-07-13,NaN,21.4,14.0,17.0,21.3,12.9,16.5,0.00,12.1
2010-07-14,NaN,20.4,9.6,14.7,19.8,6.5,12.4,0.00,18.9
2010-07-15,NaN,19.4,7.7,13.5,15.7,5.5,10.5,0.00,18.4
2010-07-16,NaN,18.9,8.9,13.6,17.4,6.9,12.0,0.00,8.2
2010-07-17,NaN,19.9,7.2,13.7,18.3,5.5,12.4,0.00,8.4
2010-07-18,NaN,20.2,10.9,15.4,20.4,10.6,15.2,0.00,11.4
2010-07-19,NaN,20.0,12.8,16.1,21.0,11.8,16.2,1.10,10.2
2010-07-20,NaN,20.3,9.2,14.7,19.0,7.8,13.5,0.20,10.2
2010-07-21,NaN,18.7,9.2,13.7,16.4,6.7,11.5,0.00,11.2
2010-07-22,NaN,18.7,8.9,13.2,16.2,5.8,10.8,0.00,12.4
2010-07-23,NaN,18.9,11.8,14.4,16.7,10.9,13.0,0.00,14.5
2010-07-24,NaN,18.8,12.7,15.5,17.3,11.8,14.8,0.00,12.4
2010-07-25,NaN,19.2,13.3,15.5,19.1,13.2,15.6,3.40,8.5
2010-07-26,NaN,19.0,12.9,15.3,17.9,12.0,14.6,0.20,13.9
2010-07-27,NaN,18.1,14.8,16.1,18.7,14.4,15.9,5.20,17.4
2010-07-28,NaN,20.0,13.9,16.7,19.9,14.6,17.6,18.50,14.6
2010-07-29,NaN,21.8,15.1,18.1,23.0,16.2,19.6,0.00,9.9
2010-07-30,NaN,24.2,16.9,19.7,26.9,17.6,21.0,0.00,13.0
2010-07-31,NaN,26.8,15.5,20.6,27.1,14.5,20.3,0.10,20.3
2010-08-01,NaN,22.3,11.5,16.4,20.6,8.6,14.0,0.00,15.3
2010-08-02,NaN,18.7,9.1,13.1,14.6,4.8,8.8,0.00,20.1
2010-08-03,NaN,19.0,7.9,13.7,15.1,6.2,10.8,0.00,20.3
2010-08-04,NaN,20.1,9.0,14.3,19.9,7.7,13.2,0.00,10.6
2010-08-05,NaN,21.9,10.7,16.0,20.3,8.5,14.8,0.00,11.7
2010-08-06,NaN,20.5,6.6,13.6,17.4,4.3,10.9,0.00,12.6
2010-08-07,NaN,18.5,7.0,12.9,17.1,5.0,11.0,0.00,8.6
2010-08-08,NaN,19.8,9.4,14.6,19.2,8.2,13.7,0.00,10.1
2010-08-09,NaN,20.9,16.3,18.0,19.7,15.1,16.9,0.70,16.1
2010-08-10,NaN,19.9,14.8,17.4,20.9,14.1,18.5,58.70,12.7
2010-08-11,NaN,17.5,11.1,14.0,15.6,7.5,11.1,1.50,19.1
2010-08-12,NaN,18.1,9.7,13.2,13.3,5.8,8.9,0.00,27.7
2010-08-13,NaN,19.0,6.9,12.7,16.7,5.1,10.5,0.00,15.6
2010-08-14,NaN,20.2,10.1,14.7,19.2,8.2,13.0,0.00,12.7
2010-08-15,NaN,23.0,9.9,15.7,21.4,7.2,13.5,0.00,14.9
2010-08-16,NaN,20.5,7.9,14.5,18.2,5.9,12.2,0.00,14.8
2010-08-17,NaN,19.7,10.5,14.8,19.1,9.4,13.7,0.00,11.5
2010-08-18,NaN,21.6,13.2,17.0,21.4,12.5,16.3,0.00,12.3
2010-08-19,NaN,27.0,15.5,20.0,27.7,16.4,21.1,0.60,13.7
2010-08-20,NaN,18.6,10.2,14.2,18.6,7.3,12.8,1.90,13.2
2010-08-21,NaN,20.5,7.3,13.8,18.0,4.9,11.1,0.00,15.0
2010-08-22,NaN,19.6,11.9,15.2,19.7,11.2,14.6,0.00,10.1
2010-08-23,NaN,17.6,13.5,15.7,18.3,11.6,15.4,11.40,16.5
2010-08-24,NaN,19.6,12.9,15.5,17.1,9.9,12.6,0.00,18.4
2010-08-25,NaN,17.6,13.2,15.2,15.0,10.6,12.7,0.00,19.6
2010-08-26,NaN,19.8,9.5,14.1,16.3,6.6,10.9,0.00,22.1
2010-08-27,NaN,20.6,7.7,14.1,17.6,5.4,11.5,0.00,19.1
2010-08-28,NaN,21.3,11.5,15.6,20.1,9.3,14.1,0.00,11.5
2010-08-29,NaN,20.1,11.3,15.5,19.0,10.1,14.3,0.00,13.1
2010-08-30,NaN,20.1,10.2,15.1,19.0,9.2,14.3,0.10,12.0
2010-08-31,NaN,20.1,11.4,15.8,20.0,11.0,15.4,0.00,10.2
2010-09-01,NaN,23.1,11.9,17.7,22.1,11.0,16.7,0.00,14.1
2010-09-02,NaN,25.9,13.3,19.2,26.4,13.2,19.3,0.00,11.8
2010-09-03,NaN,25.3,17.0,20.2,26.3,18.6,21.3,2.30,18.5
2010-09-04,NaN,24.3,18.7,20.9,24.3,19.8,21.6,2.70,21.1
2010-09-05,NaN,22.5,16.4,19.0,25.0,16.7,20.7,45.40,9.3
2010-09-06,NaN,23.8,10.4,17.8,24.6,8.7,17.8,0.30,8.4
2010-09-07,NaN,22.4,12.6,17.6,23.9,12.0,17.9,0.00,9.5
2010-09-08,NaN,20.3,13.6,17.0,21.3,14.0,17.2,1.00,14.9
2010-09-09,NaN,22.8,16.4,19.3,23.0,15.9,19.2,3.80,15.9
2010-09-10,NaN,22.7,12.7,18.6,24.7,11.3,18.8,5.40,15.0
2010-09-11,NaN,22.8,13.0,17.2,23.7,12.3,16.8,0.00,14.7
2010-09-12,NaN,21.0,14.6,17.5,21.1,14.4,17.3,0.20,11.5
2010-09-13,NaN,25.0,14.9,19.0,26.6,15.8,20.0,0.90,12.8
2010-09-14,NaN,24.7,17.1,20.7,26.8,15.0,20.9,1.40,20.6
2010-09-15,NaN,23.8,13.0,18.0,21.1,11.2,15.6,0.00,23.7
2010-09-16,NaN,24.5,14.1,18.5,22.9,11.0,16.0,0.00,15.8
2010-09-17,NaN,20.4,12.7,16.5,19.6,10.8,15.1,0.00,10.9
2010-09-18,NaN,23.0,14.2,18.1,21.9,13.3,16.6,0.00,10.2
2010-09-19,NaN,19.2,14.5,16.4,18.5,14.5,16.3,13.20,9.4
2010-09-20,NaN,18.8,16.4,17.3,19.6,16.7,18.0,14.70,12.3
2010-09-21,NaN,21.9,16.9,19.1,23.6,17.4,20.0,0.40,15.0
2010-09-22,NaN,21.3,15.5,18.5,21.9,16.2,18.9,0.50,16.3
2010-09-23,NaN,22.3,17.3,19.5,22.9,18.4,20.6,0.70,11.0
2010-09-24,NaN,22.5,17.2,19.4,23.2,18.4,20.4,1.30,12.0
2010-09-25,NaN,21.2,15.8,18.8,22.8,16.7,19.4,0.30,11.6
2010-09-26,NaN,25.1,16.5,20.5,27.5,18.1,22.5,0.40,11.5
2010-09-27,NaN,25.7,17.9,21.3,28.4,20.0,23.4,0.70,12.5
2010-09-28,NaN,25.4,16.5,20.6,29.7,17.7,23.0,13.50,11.3
2010-09-29,NaN,28.0,15.3,19.9,30.8,14.2,20.2,7.90,20.3
2010-09-30,NaN,19.1,15.1,17.2,17.3,13.9,15.6,0.10,20.7
2010-10-01,NaN,19.4,15.9,17.7,17.4,15.3,16.2,0.10,17.2
2010-10-02,NaN,19.1,14.9,17.1,20.4,15.5,17.4,4.50,14.9
2010-10-03,NaN,22.8,16.8,19.2,24.2,17.7,20.5,5.50,9.9
2010-10-04,NaN,28.4,16.7,21.7,32.3,17.6,23.7,0.00,10.2
2010-10-05,NaN,27.2,17.0,21.4,30.3,17.6,22.8,0.00,10.5
2010-10-06,NaN,25.4,18.0,21.3,27.5,20.4,23.4,0.00,12.2
2010-10-07,NaN,27.0,18.8,21.9,30.5,20.5,24.4,3.30,11.7
2010-10-08,NaN,20.9,16.5,17.9,23.3,16.0,18.1,35.40,17.6
2010-10-09,NaN,19.0,16.2,17.3,18.2,15.4,16.6,9.80,22.9
2010-10-10,NaN,19.6,15.3,17.5,19.2,13.3,16.5,56.00,29.6
2010-10-11,NaN,20.5,17.6,18.8,20.1,17.3,18.4,16.60,25.1
2010-10-12,NaN,21.5,15.7,18.7,20.3,16.3,18.2,1.40,22.0
2010-10-13,NaN,22.1,15.9,19.0,22.6,16.8,18.9,0.00,14.7
2010-10-14,NaN,23.0,18.3,20.3,23.3,19.1,20.9,0.00,15.9
2010-10-15,NaN,23.5,13.6,19.0,23.8,8.2,17.2,28.00,28.4
2010-10-16,NaN,19.9,9.6,14.7,16.6,5.7,10.9,0.00,28.0
2010-10-17,NaN,20.5,10.3,15.7,21.4,9.3,15.1,0.00,13.3
2010-10-18,NaN,22.1,11.6,17.1,23.5,10.9,17.1,0.00,11.6
2010-10-19,NaN,25.2,15.5,19.3,27.5,15.9,20.0,1.00,16.6
2010-10-20,NaN,22.0,15.2,18.4,23.3,15.5,18.5,1.20,15.5
2010-10-21,NaN,21.3,13.7,17.9,22.0,13.4,17.7,0.00,11.6
2010-10-22,NaN,21.9,14.2,18.7,24.2,14.5,19.0,0.00,11.6
2010-10-23,NaN,24.8,16.1,20.2,27.6,17.3,21.7,0.20,13.3
2010-10-24,NaN,25.8,16.9,20.7,29.3,18.8,22.6,9.20,15.5
2010-10-25,NaN,24.3,17.4,19.9,28.5,18.7,22.0,3.90,9.3
2010-10-26,NaN,23.8,17.4,20.4,27.1,19.2,22.5,2.30,10.9
2010-10-27,NaN,26.0,17.0,21.1,29.4,18.9,23.3,1.50,13.2
2010-10-28,NaN,25.6,16.4,20.4,29.2,17.2,21.6,1.40,15.8
2010-10-29,NaN,23.3,18.1,20.6,25.2,19.4,21.7,0.70,12.6
2010-10-30,NaN,25.0,16.6,20.5,27.5,17.4,21.7,0.00,14.2
2010-10-31,NaN,24.7,16.8,20.4,26.6,18.6,21.8,0.00,10.7
2010-11-01,NaN,23.1,17.7,20.1,24.2,17.4,20.8,0.20,14.0
2010-11-02,NaN,27.2,14.4,20.6,26.6,12.8,19.1,0.00,16.9
2010-11-03,NaN,23.0,18.0,20.3,24.4,19.3,21.0,2.50,16.6
2010-11-04,NaN,21.3,15.3,18.5,23.0,16.1,19.5,4.60,11.1
2010-11-05,NaN,22.2,15.9,18.5,25.1,16.3,19.4,5.40,12.0
2010-11-06,NaN,23.3,16.1,19.7,25.9,16.1,20.3,0.80,15.6
2010-11-07,NaN,24.2,18.2,20.9,27.1,20.0,22.5,2.20,14.2
2010-11-08,NaN,23.6,19.0,21.4,24.9,20.9,22.8,1.30,15.5
2010-11-09,NaN,24.4,18.6,21.6,26.0,20.3,22.8,0.50,16.3
2010-11-10,NaN,23.9,17.3,21.2,25.7,18.9,22.4,0.60,15.0
2010-11-11,NaN,26.0,19.4,22.2,29.1,22.0,24.4,0.30,16.4
2010-11-12,NaN,25.1,19.0,22.1,27.9,20.4,23.2,1.20,17.6
2010-11-13,NaN,25.8,19.4,22.3,26.7,21.6,23.5,0.20,16.0
2010-11-14,NaN,25.4,19.2,22.2,26.9,21.3,23.7,0.10,16.8
2010-11-15,NaN,26.9,19.2,22.6,28.4,21.4,24.0,0.00,15.3
2010-11-16,NaN,25.9,19.7,22.5,28.5,21.2,23.7,0.20,16.9
2010-11-17,NaN,27.7,20.1,23.1,30.1,22.7,25.4,0.40,13.6
